GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_4901: Average monthly shelter costs for rented dwellings ($),v_CA16_409: Single-detached house,v_CA16_408: Occupied private dwellings by structural type of dwelling data,v_CA16_410: Apartment in a building that has five or more storeys
59150964,DA,Vancouver,0.15355,598,349,325,805,100,325,0
59150965,DA,Vancouver,0.08978,415,153,142,0,105,145,0
59150966,DA,Vancouver,0.10819,510,193,176,0,140,175,0
59150967,DA,Vancouver,0.12808,588,218,211,2131,130,210,0
59150968,DA,Vancouver,0.21312,516,195,169,1860,135,165,0
59150969,DA,Vancouver,0.15351,573,220,200,1881,160,200,0
59150970,DA,Vancouver,0.14254,517,210,187,2298,135,190,0
59150971,DA,Vancouver,0.16584,512,208,185,0,125,185,0
59150972,DA,Vancouver,0.13586,679,281,250,1543,100,250,0
59150973,DA,Vancouver,0.11814,641,257,217,1962,95,215,0
59150974,DA,Vancouver,0.1184,520,248,232,1096,65,230,0
59150975,DA,Vancouver,0.08751,691,323,303,1432,45,305,0
59150976,DA,Vancouver,0.13723,621,273,233,1978,110,230,0
59150977,DA,Vancouver,0.13035,796,349,330,1970,75,330,0
59150978,DA,Vancouver,0.11006,410,163,153,1699,115,150,0
59150979,DA,Vancouver,0.15653,453,168,152,2395,115,150,0
59150980,DA,Vancouver,0.1407,498,184,158,0,115,160,0
59150981,DA,Vancouver,0.14312,396,138,122,0,85,120,0
59150982,DA,Vancouver,0.13697,609,176,149,1799,90,150,0
59153123,DA,Vancouver,0.03425,554,376,356,1461,0,355,0
59153124,DA,Vancouver,0.01698,321,232,229,1337,0,230,50
59153132,DA,Vancouver,0.12023,1359,760,750,1776,5,750,295
59153133,DA,Vancouver,0.06878,714,418,414,1470,0,415,125
59153134,DA,Vancouver,0.03593,581,428,403,1213,0,400,65
59153135,DA,Vancouver,0.05429,827,658,609,1120,0,610,180
59153136,DA,Vancouver,0.05395,985,684,649,1250,0,650,190
59153137,DA,Vancouver,0.03467,645,481,456,1287,0,455,130
